Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel,source_zip,source_csv,order_charged_date,report_target_date,export_loaded_at_utc
GPA.3350-6705-6894-88636..9,2026-06-21,1782004615,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3313-2741-2949-50241..20,2026-06-21,1782005116,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Antalya,ADANA,06790,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3333-1445-0921-14414..2,2026-06-21,1782006077,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3370-8380-8453-32770..3,2026-06-21,1782007694,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Istanbul,,34080,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3327-3449-6556-12132,2026-06-21,1782008357,Charged,gts11wifi,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,çankaya,ANKARA,06530,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3395-7030-7722-12864..19,2026-06-21,1782009288,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Ankara,,06930,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3364-8659-4421-15655..2,2026-06-21,1782009824,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3390-9099-1363-32581..0,2026-06-21,1782010434,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,59500,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3372-9670-6554-28191..23,2026-06-21,1782011439,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3344-2978-2932-00521..0,2026-06-21,1782011485,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3359-1706-9090-12975..16,2026-06-21,1782014128,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Gebze,KOCAELI,41100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3338-8731-6118-41465..9,2026-06-21,1782014860,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3342-6311-1788-62046..6,2026-06-21,1782016609,Refund,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,-41.5,-249.00,,,34212,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3339-8019-6228-26743..7,2026-06-21,1782017619,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3377-3322-3810-94500,2026-06-21,1782017743,Charged,sweet,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,Play store,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3348-7925-6951-77309..5,2026-06-21,1782017781,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,55400,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3357-3076-4187-33050..8,2026-06-21,1782018196,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,EUR,4.19,0.8,4.99,,,,CY,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3306-6926-4110-75331..26,2026-06-21,1782018324,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3346-3023-7746-20361..5,2026-06-21,1782022603,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,of,TRABZON,61830,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3383-9124-2352-27292..17,2026-06-21,1782022806,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,48400,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3353-0357-2794-85061..51,2026-06-21,1782022873,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,İstanbul,,34800,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3350-1465-7994-99031..17,2026-06-21,1782023159,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3332-3841-9433-80837..10,2026-06-21,1782023492,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,33060,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3368-4702-1677-66780..10,2026-06-21,1782023590,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,41100,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3346-4733-5045-44288..14,2026-06-21,1782023848,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Çağlayan Mah,ANTALYA,07025,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3371-8446-6496-93816..9,2026-06-21,1782025758,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Istanbul,,34755,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3344-5564-4980-56454..15,2026-06-21,1782026230,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3399-5040-9690-95435..6,2026-06-21,1782027007,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3302-9404-6658-67094..11,2026-06-21,1782027451,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,34700,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3335-9474-3452-72155..7,2026-06-21,1782028143,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3388-2826-3078-28653..5,2026-06-21,1782028315,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,yenimahalle,ANKARA,06010,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3396-4266-3972-98080..16,2026-06-21,1782029062,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Umraniye,İSTANBUL,34330,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3391-8171-0830-34497..12,2026-06-21,1782029244,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3370-7314-0503-05619..13,2026-06-21,1782029584,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3372-2250-8217-58818..8,2026-06-21,1782029680,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Seyhan,ADANA,38000,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3339-1249-5137-25345..16,2026-06-21,1782029708,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,64600,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3332-7423-0267-95935..4,2026-06-21,1782030051,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,38000,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3359-3776-4617-68955..1,2026-06-21,1782031296,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Ankara,,06810,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3300-9085-8428-21076..10,2026-06-21,1782031582,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3365-7659-9464-05965..20,2026-06-21,1782031612,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Istanbul,,34033,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3320-0537-9228-24172..7,2026-06-21,1782031725,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3338-1078-4755-27649..8,2026-06-21,1782032933,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,33200,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3357-8781-8541-15714..10,2026-06-21,1782033440,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3355-1106-4799-98127..0,2026-06-21,1782034176,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3351-8257-6398-06090..4,2026-06-21,1782034203,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,USD,4.99,0.44,5.43,STATEN ISLAND,NY,10312,US,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3312-0502-8999-02098..10,2026-06-21,1782034278,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,51000,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3398-1132-0215-45619..14,2026-06-21,1782034290,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Kadıköy,İSTANBUL,34742,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3373-6226-8997-55660..4,2026-06-21,1782034411,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3326-8722-0907-69481..20,2026-06-21,1782034501,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,AED,18.09,0.9,18.99,,إمارة دبيّ,,AE,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3300-5893-7258-04445..5,2026-06-21,1782034585,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Izmir,İZMIR,35250,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3373-5785-1964-11417,2026-06-21,1782034950,Charged,gts9fepwifi,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3366-3547-4863-27037..11,2026-06-21,1782035759,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,66100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3343-3143-2504-34664,2026-06-21,1782035770,Charged,HWICL,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3361-5447-3955-31628..16,2026-06-21,1782036912,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,74100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3394-6849-4621-29427..6,2026-06-21,1782037190,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3348-9806-9748-15350..10,2026-06-21,1782037245,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,44050,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3349-3326-6536-25936..9,2026-06-21,1782037292,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Yüreğir,ADANA,01230,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3374-3095-2918-61349..14,2026-06-21,1782038013,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3358-8792-6786-06609..8,2026-06-21,1782038519,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3372-8523-2551-82596..9,2026-06-21,1782038695,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3360-7833-9114-58107..9,2026-06-21,1782039246,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Subayevleri,ANKARA,06110,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3322-2272-2937-51160..6,2026-06-21,1782039442,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
